SecurityID,DhanSymbol,MasterSymbol,CompanyName,Sector,Industry,MatchType
17869,JSWENERGY,,JSW ENERGY,,,UNMATCHED
17875,GODREJPROP,GODREJPROP,GODREJ PROPERTIES,REALTY,REAL ESTATE,EXACT
17939,HINDCOPPER,HINDCOPPER,HINDUSTAN COPPER,METAL,COPPER - PSU,EXACT
17945,COHANCE,COHANCE,COHANCE LIFESCIENCES,PHARMA,CDMO / SPECIALTY PHARMA INGREDIENTS,EXACT
17963,NESTLEIND,NESTLEIND,NESTLE,FMCG,PACKAGED FOODS,EXACT
17971,SBICARD,SBICARD,SBI CARDS,FINANCIAL SERVICES,NBFC - CREDIT CARDS,EXACT
18011,WHIRLPOOL,WHIRLPOOL,WHIRLPOOL,CONSUMER DURABLES,HOME APPLIANCES,EXACT
1808,KAJARIACER,KAJARIACER,KAJARIA CERAMICS,CONSUMER DURABLES,CERAMICS / TILES,EXACT
18096,JUBLFOOD,,JUBILANT FOODWORKS,,,UNMATCHED
18143,JIOFIN,JIOFIN,JIO FINANCIAL SERVICES,FINANCIAL SERVICES,NBFC,EXACT
18252,SPAL,,SP APPARELS,,,UNMATCHED
18268,AEROFLEX,,AEROFLEX INDUSTRIES,,,UNMATCHED
18359,SANDUMA,,SANDUR MANGANESE & IRON ORES,,,UNMATCHED
18365,PERSISTENT,PERSISTENT,PERSISTENT SYSTEMS,IT,IT SERVICES,EXACT
1838,KARURVYSYA,,KARUR VYSYA BANK,,,UNMATCHED
18391,RBLBANK,RBLBANK,RBL BANK,BANKING,PRIVATE BANK,EXACT
18543,DIACABS,,DIAMOND POWER INFRASTRUCTURE,,,UNMATCHED
18566,RRKABEL,,RR KABEL,,,UNMATCHED
18571,GNA,,GNA AXLES,,,UNMATCHED
18593,EMSLIMITED,,EMS,,,UNMATCHED
18608,ZAGGLE,,ZAGGLE PREPAID OCEAN SERVICES,,,UNMATCHED
18652,ICICIPRULI,ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE,FINANCIAL SERVICES,LIFE INSURANCE,EXACT
18721,NUVAMA,,NUVAMA WEALTH MANAGEMENT,,,UNMATCHED
18743,SIGNATURE,,SIGNATUREGLOBAL,,,UNMATCHED
18822,ENDURANCE,,ENDURANCE TECHNOLOGIES,,,UNMATCHED
18908,PNBHOUSING,PNBHOUSING,PNB HOUSING FINANCE,FINANCIAL SERVICES,HOUSING FINANCE,EXACT
18921,VBL,VBL,VARUN BEVERAGES,FMCG,BEVERAGES,EXACT
1901,CUMMINSIND,,CUMMINS,,,UNMATCHED
19020,JSWINFRA,,JSW INFRASTRUCTURE,,,UNMATCHED
19061,MANAPPURAM,MANAPPURAM,MANAPPURAM FINANCE,FINANCIAL SERVICES,NBFC - GOLD LOAN,EXACT
1922,KOTAKBANK,KOTAKBANK,KOTAK BANK,BANKING,PRIVATE BANK,EXACT
19223,TCIEXP,,TCI EXPRESS,,,UNMATCHED
19234,LAURUSLABS,LAURUSLABS,LAURUS LABS,PHARMA,PHARMACEUTICALS / APIS,EXACT
19265,BLISSGVS,,BLISS GVS PHARMA,,,UNMATCHED
193,ARVIND,,ARVIND,,,UNMATCHED
19401,BOROLTD,,BOROSIL,,,UNMATCHED
19531,BAJAJCON,,BAJAJ CONSUMER CARE,,,UNMATCHED
19585,BSE,BSE,BSE,FINANCIAL SERVICES,CAPITAL MARKETS,EXACT
19631,PRICOLLTD,,PRICOL,,,UNMATCHED
1964,TRENT,,TRENT,,,UNMATCHED
19686,BLUEJET,BLUEJET,BLUE JET HEALTHCARE,PHARMA,SPECIALTY PHARMA INGREDIENTS,EXACT
19813,HONASA,,MAMAEARTH,,,UNMATCHED
1994,LIBERTSHOE,,LIBERTY SHOES,,,UNMATCHED
1997,LICHSGFIN,LICHSGFIN,LIC HOUSING FINANCE,FINANCIAL SERVICES,HOUSING FINANCE,EXACT
20152,ASKAUTOLTD,,ASK AUTOMOTIVE,,,UNMATCHED
20188,WABAG,,VA TECH WABAG,,,UNMATCHED
20224,JWL,,JUPITER WAGONS,,,UNMATCHED
20242,OBEROIRLTY,OBEROIRLTY,OBEROI REALTY,REALTY,REAL ESTATE,EXACT
20293,TATATECH,TATATECH,TATA TECHNOLOGIES,IT,IT SERVICES - ENGINEERING,EXACT
203,ASHAPURMIN,,ASHAPURA MINECHEM,,,UNMATCHED
20302,PRESTIGE,PRESTIGE,PRESTIGE ESTATES PROJECTS,REALTY,REAL ESTATE,EXACT
2031,M&M,M&M,MAHINDRA & MAHINDRA,AUTO,PASSENGER VEHICLES/UV,EXACT
20329,CGCL,,CAPRI GLOBAL CAPITAL,,,UNMATCHED
20374,COALINDIA,,COAL INDIA,,,UNMATCHED
20425,NACLIND,,NACL INDUSTRIES,,,UNMATCHED
2043,RAMCOCEM,RAMCOCEM,RAMCO CEMENTS,CEMENT,CEMENT,EXACT
2049,CHENNPETRO,CHENNPETRO,CHENNAI PETROLEUM CORPORATION,OIL & GAS,REFINERIES,EXACT
20607,INOXINDIA,,INOX INDIA,,,UNMATCHED
2073,VTL,,VARDHMAN TEXTILES,,,UNMATCHED
20825,HUDCO,HUDCO,HUDCO,FINANCIAL SERVICES,NBFC - PSU HOUSING,EXACT
20830,MOIL,,MOIL,,,UNMATCHED
20831,MUTHOOTMF,,MUTHOOT MICROFIN,,,UNMATCHED
20905,AZAD,,AZAD ENGINEERING,,,UNMATCHED
20936,KIRLOSENG,,KIRLOSKAR OIL ENGINES,,,UNMATCHED
2106,MANGLMCEM,,MANGALAM CEMENT,,,UNMATCHED
21091,STARCEMENT,STARCEMENT,STAR CEMENT,CEMENT,CEMENT,EXACT
21131,TEJASNET,,TEJAS NETWORKS,,,UNMATCHED
21174,CDSL,CDSL,CDSL,FINANCIAL SERVICES,CAPITAL MARKETS - DEPOSITORY,EXACT
21238,AUBANK,AUBANK,AU SMALL FINANCE BANK,BANKING,SMALL FINANCE BANK,EXACT
21334,JYOTICNC,,JYOTI CNC AUTOMATION,,,UNMATCHED
2142,MFSL,MFSL,MAX FINANCIAL SERVICES,FINANCIAL SERVICES,LIFE INSURANCE,EXACT
2144,BDL,,BHARAT DYNAMICS,,,UNMATCHED
21469,OPTIEMUS,,OPTIEMUS INFRACOM,,,UNMATCHED
21501,SIS,,SIS,,,UNMATCHED
21508,COCHINSHIP,,COCHIN SHIPYARD,,,UNMATCHED
21614,ABCAPITAL,ABCAPITAL,ADITYA BIRLA CAPITAL,FINANCIAL SERVICES,DIVERSIFIED NBFC,EXACT
21690,DIXON,DIXON,DIXON TECHNOLOGIES,CONSUMER DURABLES,ELECTRONICS CONTRACT MANUFACTURING,EXACT
21749,CAPACITE,,CAPACITE INFRAPROJECTS,,,UNMATCHED
21808,SBILIFE,SBILIFE,SBI LIFE INSURANCE,FINANCIAL SERVICES,LIFE INSURANCE,EXACT
21951,HFCL,HFCL,HFCL,TELECOM,TELECOM EQUIPMENT,EXACT
22377,MAXHEALTH,MAXHEALTH,MAX HEALTHCARE INSTITUTE,HEALTHCARE SERVICES,HOSPITALS,EXACT
22463,EPACK,,EPACK DURABLE,,,UNMATCHED
2263,BANDHANBNK,BANDHANBNK,BANDHAN BANK,BANKING,PRIVATE BANK,EXACT
22670,RPTECH,,RASHI PERIPHERALS,,,UNMATCHED
2303,HAL,,HINDUSTAN AERONAUTICS,,,UNMATCHED
23553,AIIL,,AUTHUM INV & INFR,,,UNMATCHED
236,ASIANPAINT,,ASIAN PAINTS,,,UNMATCHED
23607,BALUFORGE,,BALU FORGE INDUSTRIES,,,UNMATCHED
23621,JNKINDIA,,JNK INDIA,,,UNMATCHED
23650,MUTHOOTFIN,MUTHOOTFIN,MUTHOOT FINANCE,FINANCIAL SERVICES,NBFC - GOLD LOAN,EXACT
23729,AADHARHFC,,AADHAR HOUSING FINANCE,,,UNMATCHED
2397,SANDHAR,,SANDHAR TECHNOLOGIES,,,UNMATCHED
24184,PIIND,PIIND,PI INDUSTRIES,CHEMICALS,AGROCHEMICALS,EXACT
24225,RELAXO,,RELAXO FOOTWEARS,,,UNMATCHED
2431,RAILTEL,,RAILTEL CORPORATION OF INDIA,,,UNMATCHED
24398,EMCURE,EMCURE,EMCURE PHARMACEUTICALS,PHARMA,PHARMACEUTICALS,EXACT
24445,AGIIL,,AGI INFRA,,,UNMATCHED
2463,MIDHANI,,MISHRA DHATU NIGAM,,,UNMATCHED
24742,CEIGALL,,CEIGALL INDIA,,,UNMATCHED
2475,ONGC,ONGC,OIL & NATURAL GAS CORPORATION,OIL & GAS,OIL EXPLORATION & PRODUCTION - PSU,EXACT
2481,ONWARDTEC,,ONWARD TECHNOLOGIES,,,UNMATCHED
24814,FIRSTCRY,,FIRSTCRY (BRAINBEES SOLUTIONS),,,UNMATCHED
24823,MANCREDIT,,MANGAL CREDIT & FINCORP,,,UNMATCHED
24948,LTF,LTF,L&T FINANCE,FINANCIAL SERVICES,NBFC,EXACT
25,ADANIENT,ADANIENT,ADANI ENTERPRISES,METAL,DIVERSIFIED / METALS-MINING,EXACT
25049,PREMIERENE,,PREMIER ENERGIES,,,UNMATCHED
25162,EUREKAFORB,,EUREKA FORBES,,,UNMATCHED
25178,TDPOWERSYS,,TD POWER SYSTEMS,,,UNMATCHED
25358,PGEL,PGEL,PG ELECTROPLAST,CONSUMER DURABLES,ELECTRONICS CONTRACT MANUFACTURING,EXACT
25392,PANAMAPET,,PANAMA PETROCHEM,,,UNMATCHED
25426,NORTHARC,,NORTHERN ARC CAPITAL,,,UNMATCHED
25574,SHAKTIPUMP,,SHAKTI PUMPS,,,UNMATCHED
25584,TRITURBINE,,TRIVENI TURBINES,,,UNMATCHED
25608,INDOTHAI,,INDO THAI SECURITIES,,,UNMATCHED
25780,APLAPOLLO,APLAPOLLO,APL APOLLO TUBES,METAL,STEEL PIPES & TUBES,EXACT
25844,HYUNDAI,,HYUNDAI MOTOR INDIA,,,UNMATCHED
25897,MINDACORP,,MINDA CORPORATION,,,UNMATCHED
25907,WAAREEENER,,WAAREE ENERGIES,,,UNMATCHED
25977,AFCONS,,AFCONS INFRASTRUCTURE,,,UNMATCHED
25984,AVL,,ADITYA VISION,,,UNMATCHED
2649,PCBL,PCBL,PCBL CHEMICAL,CHEMICALS,CARBON BLACK,EXACT
2664,PIDILITIND,PIDILITIND,PIDILITE INDUSTRIES,CHEMICALS,SPECIALTY CHEMICALS / ADHESIVES,EXACT
2687,POLYPLEX,,POLYPLEX CORPORATION,,,UNMATCHED
2705,PRAJIND,,PRAJ INDUSTRIES,,,UNMATCHED
27061,ACMESOLAR,,ACME SOLAR HOLDINGS,,,UNMATCHED
27066,SWIGGY,,SWIGGY,,,UNMATCHED
27095,SWANCORP,SWANCORP,SWAN CORP,CHEMICALS,CHEMICALS,EXACT
2717,PRECWIRE,,PRECISION WIRES INDIA,,,UNMATCHED
27213,EIEL,,ENVIRO INFRA ENGINEERS,,,UNMATCHED
275,AUROPHARMA,AUROPHARMA,AUROBINDO PHARMA,PHARMA,PHARMACEUTICALS,EXACT
277,GICRE,,GIC OF INDIA,,,UNMATCHED
27839,SAILIFE,SAILIFE,SAI LIFE SCIENCES,PHARMA,CRDMO,EXACT
2816,RALLIS,,RALLIS,,,UNMATCHED
2859,RAYMOND,,RAYMOND,,,UNMATCHED
28714,TRANSRAILL,,TRANSRAIL LIGHTING,,,UNMATCHED
28764,CEWATER,,CONCORD ENVIRO SYSTEMS,,,UNMATCHED
2885,RELIANCE,RELIANCE,RELIANCE INDUSTRIES,OIL & GAS,REFINING & PETROCHEMICALS (DIVERSIFIED),EXACT
28888,SENORES,,SENORES PHARMACEUTICALS,,,UNMATCHED
29075,SETL,,STANDARD ENGINEERING TECHNOLOGY,,,UNMATCHED
29087,QUADFUTURE,,QUADRANT FUTURE TEK,,,UNMATCHED
29135,INDUSTOWER,INDUSTOWER,INDUS TOWERS,TELECOM,TELECOM INFRASTRUCTURE / TOWERS,EXACT
29256,DENTA,,DENTA WATER AND INFRA SOLUTIONS,,,UNMATCHED
29459,MOSCHIP,,MOSCHIP TECHNOLOGIES,,,UNMATCHED
29472,PROTEAN,,PROTEAN E-GOV TECHNOLOGIES,,,UNMATCHED
2955,KALYANKJIL,KALYANKJIL,KALYAN JEWELLERS,CONSUMER DURABLES,JEWELLERY,EXACT
29666,HEXT,HEXT,HEXAWARE TECHNOLOGIES,IT,IT SERVICES,EXACT
29678,BAJAJINDEF,,INDEF MANUFACTURING,,,UNMATCHED
2987,NAZARA,NAZARA,NAZARA TECHNOLOGIES,MEDIA & ENTERTAINMENT,GAMING,EXACT
3024,JINDALSAW,,JINDAL SAW,,,UNMATCHED
3045,SBIN,SBIN,STATE BANK OF INDIA,BANKING,PSU BANK,EXACT
3048,SCI,,SHIPPING CORPORATION OF INDIA,,,UNMATCHED
3063,VEDL,VEDL,VEDANTA,METAL,DIVERSIFIED METALS & MINING,EXACT
30893,CMRGREEN,,CMR GREEN TECHNOLOGIES,,,UNMATCHED
31181,MCX,MCX,MCX,FINANCIAL SERVICES,CAPITAL MARKETS / EXCHANGE,EXACT
31234,SCHNEIDER,,SCHNEIDER ELECTRIC INFRA,,,UNMATCHED
3149,BORORENEW,,BOROSIL RENEWABLES,,,UNMATCHED
3150,SIEMENS,,SIEMENS,,,UNMATCHED
317,BAJFINANCE,BAJFINANCE,BAJAJ FINANCE,FINANCIAL SERVICES,NBFC,EXACT
3220,LODHA,LODHA,LODHA DEVELOPERS,REALTY,REAL ESTATE,EXACT
324,ANGELONE,ANGELONE,ANGEL ONE,FINANCIAL SERVICES,CAPITAL MARKETS - BROKING,EXACT
3275,TEMBO,,TEMBO GLOBAL INDUSTRIES,,,UNMATCHED
3324,SUBROS,,SUBROS,,,UNMATCHED
3345,SUNDRMFAST,,SUNDRAM FASTENERS,,,UNMATCHED
3351,SUNPHARMA,SUNPHARMA,SUN PHARMACEUTICAL,PHARMA,PHARMACEUTICALS,EXACT
3363,SUPREMEIND,,SUPREME INDUSTRIES,,,UNMATCHED
3375,SURYAROSNI,,SURYA ROSHNI,,,UNMATCHED
3405,TATACHEM,TATACHEM,TATA CHEMICALS,CHEMICALS,CHEMICALS / SODA ASH,EXACT
342,CAMS,CAMS,CAMS,FINANCIAL SERVICES,CAPITAL MARKETS - RTA SERVICES,EXACT
3426,TATAPOWER,,TATA POWER,,,UNMATCHED
3432,TATACONSUM,TATACONSUM,TATA CONSUMER PRODUCTS,FMCG,PACKAGED FOODS / BEVERAGES,EXACT
3435,BBOX,,BLACK BOX,,,UNMATCHED
3456,TMPV,TMPV,TATA MOTORS PASSENGER VEHICLES,AUTO,PASSENGER VEHICLES,EXACT
3506,TITAN,TITAN,TITAN,CONSUMER DURABLES,WATCHES / JEWELLERY,EXACT
3563,ADANIGREEN,,ADANI GREEN ENERGY,,,UNMATCHED
357,NAM-INDIA,,NIPPON LIFE INDIA AMC,,,UNMATCHED
371,BATAINDIA,BATAINDIA,BATA,CONSUMER DURABLES,FOOTWEAR,EXACT
